,Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,occurence,keywords,key_words_count
184,Evaluation of the potential impact of fully-immersive virtual reality on production engineering curricula,A. Maffei; M. Onori,"Department of Production Engineering, KTH Royal Institute of Technology, Stockholm, Sweden; Department of Production Engineering, KTH Royal Institute of Technology, Stockholm, Sweden",2019 IEEE AFRICON,7 Jul 2020,2019,,,1,5,"Virtual Reality, or VR, is a family of technologies defined in the 60s that aims at mimicking reality through computers with different purposes. VR is usually classified according to the level of user immersion achieved. VR has attracted increasing attention between academic and practitioners during the last decade due to technological progresses that achieved high reliability and relatively low cost. VR potential to visualize information, replace physical presence and stimulate interaction make of this technology an essential part in the toolbox of future engineers. Higher Education Institution must align their curricula to fulfill this purpose. At the same time VR can be a support to enhance the learning process itself. This work analyses the impact of fully-immersive VR technology on an average production engineering curricula based on the educational offer at KTH Royal Institute of Technology in Stockholm, Sweden. The results show that VR has a great potential to shape the production engineering curricula in the coming years both in term of content and design of the learning experiences.",2153-0033,978-1-7281-3289-1,10.1109/AFRICON46755.2019.9133929,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9133929,fully-immersive virtual reality;production engineering;education,Production engineering;Solid modeling;Education;Analytical models;Tools;Planning,computer aided instruction;engineering education;further education;production engineering computing;virtual reality,higher education institution;fully-immersive VR technology;fully-immersive virtual reality;user immersion;production engineering curricula;KTH Royal Institute of Technology;Stockholm;Sweden,,2.0,,18.0,IEEE,7 Jul 2020,,,IEEE,IEEE Conferences,29,"{'virtual', 'reality'}",2
183,Learning-Based Prediction and Proactive Uplink Retransmission for Wireless Virtual Reality Network,X. Liu; X. Li; Y. Deng,"Department of Engineering, King's College London, London, U.K.; Department of Engineering, King's College London, London, U.K.; Department of Engineering, King's College London, London, U.K.",IEEE Transactions on Vehicular Technology,15 Oct 2021,2021,70.0,10.0,10723,10734,"Wireless Virtual Reality (VR) users are able to enjoy immersive experience from anywhere at anytime. However, providing full spherical VR video with high quality under limited VR interaction latency is challenging. If the viewpoint of the VR user can be predicted in advance, only the required viewpoint is needed to be rendered and delivered, which can reduce the VR interaction latency. Therefore, in this paper, we use offline and online learning algorithms to predict viewpoint of the VR user using real VR dataset. For the offline learning algorithm, the trained learning model is directly used to predict the viewpoint of VR users in continuous time slots. While for the online learning algorithm, based on the VR user's actual viewpoint delivered through uplink transmission, we compare it with the predicted viewpoint and update the parameters and input viewpoints of the online learning algorithm to further improve the prediction accuracy. To guarantee the reliability of the uplink transmission, we integrate the Proactive retransmission scheme into our proposed online learning algorithm. Simulation results show that our proposed online learning algorithm for uplink wireless VR network with the proactive retransmission scheme only exhibits about 5$\%$ prediction error.",1939-9359,,10.1109/TVT.2021.3102844,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9508152,Viewpoint prediction;uplink retransmission;offline and online learning;virtual reality (VR),Uplink;Wireless communication;Prediction algorithms;Predictive models;Heuristic algorithms;Sports;Adaptation models,computer aided instruction;mobile radio;radio access networks;virtual reality,uplink transmission;proactive retransmission scheme;online learning algorithm;wireless virtual reality network;spherical VR video;VR interaction;VR dataset;offline learning algorithm;learning model training;input viewpoints;learning-based prediction;proactive uplink retransmission;uplink wireless VR network,,3.0,,46.0,IEEE,5 Aug 2021,,,IEEE,IEEE Journals,29,"{'virtual', 'reality'}",2
182,Through the eye of the master: The use of Virtual Reality in the teaching of surgical hand preparation,B. Harrison; R. Oehmen; A. Robertson; B. Robertson; P. De Cruz; R. Khan; D. Fick,"School of Medicine, University of Notre Dame Fremantle, Perth, Australia; School of Medicine, University of Notre Dame Fremantle, Perth, Australia; Surgical Realities Pty Ltd, Perth, Australia; Surgical Realities Pty Ltd, Perth, Australia; The Joint Studio, Perth, Australia; The Joint Studio, Perth, Australia; The Joint Studio, Perth, Australia",2017 IEEE 5th International Conference on Serious Games and Applications for Health (SeGAH),8 Jun 2017,2017,,,1,6,"Virtual Reality (VR) demonstrates unique educational benefits over other teaching mediums including enhanced engagement and learner motivation. Such benefits could be exploited to improve teaching of surgical hand preparation (SHP), a practice crucial in preventing post-surgical infection. This study hypothesises that the utilisation of VR technology to demonstrate SHP technique will produce superior skill acquisition and longer skill retention than the standard practice of video demonstration. 40 healthcare students unfamiliar with SHP were recruited from a tertiary university and randomised into two groups. The control group (n=21) viewed a video demonstration of SHP while the VR group (n=19) viewed a VR demonstration of the same technique. Participants were assessed immediately after demonstration (acquisition score), and again one week later (retention score), using a 20-point assessment scale. Scores were compared between the groups. Groups were equal in age, prior education, handedness and gender distribution. Neither skill acquisition (Control mean: 12.29, VR mean: 12.84; p = 0.57) nor retention (Control mean: 12.29, VR mean: 12.74; p = 0.52) differed significantly between groups however a non-significant trend toward better performance in the VR group was observed. Parallel scoring of 35% of participants showed very high inter-rater reliability (intra-class correlation coefficient = 0.92). Utilisation of VR technology did not demonstrate a perceivable acquisition or retention benefit in the teaching of SHP. Future studies could investigate the value of more immersive features including 360-degree point of view or haptic feedback which were not features of the technology used in the present study.",,978-1-5090-5482-4,10.1109/SeGAH.2017.7939269,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7939269,Surgical Hand Preparation;Virtual Reality;Training,Surgery;Atmospheric measurements;Particle measurements;Pollution measurement;Standards;Muscles,biomedical education;haptic interfaces;health care;medical computing;surgery;virtual reality,surgical hand preparation;post-surgical infection;virtual reality technology;SHP technique;video demonstration;health care students;intraclass correlation coefficient;haptic feedback,,5.0,,21.0,IEEE,8 Jun 2017,,,IEEE,IEEE Conferences,29,"{'virtual', 'reality'}",2
173,A Credibility Assessment Approach for Scenario-Based Virtual Testing of Automated Driving Functions,C. Stadler; F. Montanari; W. Baron; C. Sippl; A. Djanatliev,"Automated Driving Department, AUDI AG, Ingolstadt, Germany; Automated Driving Department, AUDI AG, Ingolstadt, Germany; Computer Networks Chair of the Computer Science Department, Friedrich-Alexander University of Erlangen-Nuremberg, Erlangen, Germany; Pre-Development for Automated Driving Department, AUDI AG, Ingolstadt, Germany; Computer Networks Chair of the Computer Science Department, Friedrich-Alexander University of Erlangen-Nuremberg, Erlangen, Germany",IEEE Open Journal of Intelligent Transportation Systems,25 Jan 2022,2022,3.0,,45,60,"An immense test space is pushing the development and testing of automated driving functions from real to virtual environments. The virtual world is provided by interconnected simulation models representing sensors, vehicle dynamics, and both static and dynamic environment. For the virtual validation of automated driving, special attention must be paid to the simulation’s credibility, which can be impaired by inappropriate or inaccurate simulation models and tools. Therefore, in this work a method is proposed to assess the credibility of simulation-based testing for automated driving. The approach allows a qualitative and relatively quantitative comparisons between scenarios as well as between different simulation setups. Therefore, several uni- and multivariate metrics are applied towards a scoring of similarity of the behavior between simulation and real test drive. This is achieved by using ground truth data in form of simulation scenarios from real world measurement data. In this way, the virtual automated vehicle encounters the same conditions and surroundings than its counterpart in the real world for evaluating their similarity. The practical applicability of the proposed credibility assessment approach is demonstrated in a case study, in which the credibility of an exemplary simulation-based test bench is inferred.",2687-7813,,10.1109/OJITS.2022.3140493,AUDI AG; German Federal Ministry of Transport and Digital Infrastructure within the Automated and Connected Driving funding program(grant numbers:01MM20012A (SAVeNoW)); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9669987,Automated driving;software-in-the-loop;scenario-based approach;virtual testing;virtual development;virtual validation;computer simulation;automotive engineering;intelligent vehicles;automated vehicles,Intelligent vehicles;Data models;Standards;Road traffic;Computational modeling;Vehicle dynamics;Autonomous vehicles;Automotive engineering,mobile robots;road vehicles;vehicle dynamics;virtual reality,credibility assessment approach;scenario-based virtual testing;automated driving functions;interconnected simulation models;vehicle dynamics;static environment;dynamic environment;automated driving attention;real test drive;real world measurement data;virtual automated vehicle;exemplary simulation-based test bench,,6.0,,46.0,CCBY,5 Jan 2022,,,IEEE,IEEE Journals,29,"{'virtual', 'credibility'}",2
169,Challenges for enabling virtual reality broadcast using 5G small cell network,A. Prasad; M. A. Uusitalo; D. Navrátil; M. Säily,"NOKIA Bell Labs, Nokia Group, Finland; NOKIA Bell Labs, Nokia Group, Finland; NOKIA Bell Labs, Nokia Group, Finland; NOKIA Bell Labs, Nokia Group, Finland",2018 IEEE Wireless Communications and Networking Conference Workshops (WCNCW),31 May 2018,2018,,,220,225,"In the recent past, with the ubiquitous adoption of smartphones and tablets, there has been an exponential increase in data rate demands which has become increasingly challenging for network operators to support. This trend is expected to continue in future, with the advent of high-performance gaming and increasing appetite for immersive applications and social media experiences. Such factors have contributed to the development of the fifth generation (5G) of mobile networks, which would be supporting significantly higher data rates with improved reliability and latency. 5G has also enabled the deployment of wireless virtual reality applications, with wide-ranging use cases. In this work, we consider the key challenges for broadcasting such content to a large number of audience thereby enabling new disruptions in mass media consumption. The technology potential and practical constraints for such deployments were also evaluated using realistic network settings. Based on the performance evaluations, it was shown that with slightly higher system bandwidth requirements, VR broadcast can be supported under ideal conditions, using 5G millimeter wave small cell networks. Potential areas for future work in order to make VR broadcast a reality is also discussed.",,978-1-5386-1154-8,10.1109/WCNCW.2018.8368976,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8368976,,5G mobile communication;Bandwidth;Interference;Conferences;Wireless communication;Long Term Evolution,5G mobile communication;broadcast communication;cellular radio;smart phones;virtual reality,wireless virtual reality applications;mass media consumption;VR broadcast;5G millimeter wave small cell networks;cell network;smartphones;social media experiences;mobile networks;reliability;virtual reality broadcasting;fifth generation network;5G network,,17.0,,17.0,IEEE,31 May 2018,,,IEEE,IEEE Conferences,29,"{'virtual', 'reality'}",2
168,A Framework of Student's Learning Motivation in Virtual Reality in the History of Animation,K. Cheng; A. M. Zaini; D. C. d. Wong; H. Chong; I. W. H. Lam,"De Institute of Creative Arts and Design, UCSI University, Kuala Lumpur, Malaysia; De Institute of Creative Arts and Design, UCSI University, Kuala Lumpur, Malaysia; De Institute of Creative Arts and Design, UCSI University, Kuala Lumpur, Malaysia; Game Studies Department, University Tunku Abdul Rahman, Selangor, Malaysia; De Institute of Creative Arts and Design, UCSI University, Kuala Lumpur, Malaysia",2022 10th International Conference on Information and Communication Technology (ICoICT),21 Oct 2022,2022,,,70,75,"Virtual reality (VR) is a virtual environment that might be identical to or opposed to the actual world that has a variety of applications, including entertainment (video games), business (virtual meetings) and education (including medical and military training). In an educational context, VR has been used in various subjects but VR has not been applied in learning the “history of animation”. Besides the student's motivation to learn this subject has yet to be explored. This paper presents the preliminary model of VR application in learning the history of animation incorporating the Self-Determination Theory that focuses on two main components, autonomy and relatedness, to achieve the satisfaction of basic learning needs. To verify the preliminary framework, a pilot test that focuses on a qualitative approach included eight students who had learned the history of animation participated in a focus group discussion. They were asked about their motivation for the satisfaction of basic learning needs according to the context of autonomy and relatedness. The discussion session has been transcribed and analysed into four themes, i) excitement ii) self-confidence iii) socially immersive, and iv) practical access. The qualitative findings have given the credibility to be further studied for its reliability and validity through a quantitative approach to implementing VR in learning the “history of animation” in the next phase of this study.",,978-1-6654-8165-6,10.1109/ICoICT55009.2022.9914887,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9914887,Virtual Reality;Learning;History of animation;Self-determination theory,Training;Video games;Solid modeling;Virtual environments;Entertainment industry;Animation;Information and communication technology,computer aided instruction;computer animation;computer games;human factors;virtual reality,student;virtual reality;virtual environment;actual world;video games;virtual meetings;education;including medical training;military training;educational context;preliminary model;VR application;animation incorporating;relatedness;basic learning needs;preliminary framework;focus group discussion,,,,36.0,IEEE,21 Oct 2022,,,IEEE,IEEE Conferences,29,"{'virtual', 'reality'}",2
165,Allocation of Virtual Infrastructures on Multiple IaaS Providers with Survivability and Reliability Requirements,A. S. Raugust; F. R. d. Souza; M. A. Pillon; C. C. Miers; G. P. Koslovski,"Graduate Program in Applied Computing - Santa Catarina State University, Joinville, Brazil; NA; Graduate Program in Applied Computing - Santa Catarina State University, Joinville, Brazil; Graduate Program in Applied Computing - Santa Catarina State University, Joinville, Brazil; Graduate Program in Applied Computing - Santa Catarina State University, Joinville, Brazil",2018 IEEE 32nd International Conference on Advanced Information Networking and Applications (AINA),13 Aug 2018,2018,,,1147,1154,"The cloud computing paradigm consolidated the on-demand provisioning of virtual resources. However, the diversity of services, prices, data centers, and geographical footprints, have turned the clouds into a complex and heterogeneous environment. There are several IaaS providers differentiated by the provisioning costs and availability figures. Due to management complexity, the survivability and reliability aspects are often disregarded by tenants, eventually resulting in heavy losses due to unavailability of services that are hosted on Virtual Infrastructures (VIs). We present an alternative to improve VIs survivability and reliability, which considers the use of replicas and the spreading of virtual resources atop providers, regions, and zones. Replicas are used to achieve a user-defined reliability level while the controlled spreading of VI components decrease the probability of full outages. In addition, our proposal performs a cost-effective allocation. We formulate the VI allocation with survivability and reliability requirements as a Mixed Integer Program (MIP). Following, binary constraints are relaxed to obtain a Linear Program (LP). The LP solution is given as input for the simulated annealing technique, composing the Reliable and Survivable Virtual Infrastructure Allocation (RS-VIA) mechanism. Simulation results with different reliability requests indicate an increasing in survivability without inflating costs.",2332-5658,978-1-5386-2195-0,10.1109/AINA.2018.00164,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8432366,Virtual infrastructures;allocation;survivable;IaaS;multi-provider;reliable,Reliability;Cloud computing;Resource management;Data transfer;Servers;Quality of service;Proposals,cloud computing;integer programming;linear programming;resource allocation;simulated annealing;virtual reality,management complexity;virtual resources;user-defined reliability level;cost-effective allocation;reliability requirements;multiple IaaS providers;on-demand provisioning;data centers;geographical footprints;clouds;survivability requirements;Virtual Infrastructures Allocation;reliability requests;Linear Program;Mixed Integer Program;simulated annealing technique;Reliable and Survivable Virtual Infrastructure Allocation;RS-VIA mechanism,,2.0,,22.0,IEEE,13 Aug 2018,,,IEEE,IEEE Conferences,29,"{'reliability', 'virtual'}",2
158,MAC Scheduling for Multiuser Wireless Virtual Reality in 5G MIMO-OFDM Systems,M. Huang; X. Zhang,Intel Corporation; Intel Corporation,2018 IEEE International Conference on Communications Workshops (ICC Workshops),5 Jul 2018,2018,,,1,6,"Wireless Virtual Reality (VR) is a new-arising technology to enable the untethered connection between VR server and VR client, which needs to support simultaneously ultra-high data rate and ultra-high transfer reliability for video streaming, and also ultra-high responsive speed for motion-to-photon latency. Such three ultra-high (3UH) requirements constitute the basic characteristics of the generalized tactile internet. This paper proposes a multiuser MAC scheduling scheme for VR service in 5G MIMO-OFDM system, which can maximize the number of simultaneous VR clients while guaranteeing their 3UH quality-of-experience (QoE). Specifically, this scheme is composed of three novel functions, including video frame differentiation and delay-based weight calculation, spatial-frequency user selection based on maximum aggregate delay-capacity utility (ADCU), and link adaptation with dynamic block-error-rate (BLER) target. In addition, a low-complexity downlink MIMO user selection algorithm is developed, which can reduce the calculation amount with one order. It is demonstrated by the simulation results that the proposed scheme increases 31.6% for the maximum number of simultaneously served VR users than the traditional scheme with maximum-sum-capacity based scheduling and fixed BLER target based link adaptation.",2474-9133,978-1-5386-4328-0,10.1109/ICCW.2018.8403486,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8403486,,Streaming media;Wireless communication;5G mobile communication;Servers;Base stations;Payloads;Reliability,5G mobile communication;access protocols;Internet;MIMO communication;multi-access systems;OFDM modulation;quality of experience;radio links;telecommunication scheduling;video streaming;virtual reality,untethered connection;VR server;ultra-high data rate;ultra-high transfer reliability;video streaming;ultra-high responsive speed;ultra-high requirements;multiuser MAC scheduling scheme;VR service;simultaneous VR clients;3UH quality-of-experience;video frame differentiation;spatial-frequency user selection;maximum aggregate delay-capacity utility;dynamic block-error-rate target;low-complexity downlink MIMO user selection algorithm;simultaneously served VR users;multiuser wireless virtual reality;5G MIMO-OFDM systems;motion-to-photon latency;generalized tactile Internet;delay-based weight calculation;ADCU;link adaptation;BLER,,9.0,,15.0,IEEE,5 Jul 2018,,,IEEE,IEEE Conferences,29,"{'virtual', 'reality'}",2
145,Optimizing Over-The-Air Virtual Reality Broadcast Transmissions with Low-Latency Feedback,A. Prasad; A. Maeder; M. A. Uusitalo,"NOKIA Bell Labs, Finland; NOKIA Bell Labs, Germany; NOKIA Bell Labs, Finland",2018 IEEE 5G World Forum (5GWF),1 Nov 2018,2018,,,112,117,"Virtual reality is one of the most challenging use cases in 5G due to the need for simultaneous support for high data rates, low-latency and high-reliability. In this work, we consider a radio resource efficient mechanism for the mass delivery of such content to a multitude of users with D2D augmented 5G broadcast. Based on detailed performance evaluations conducted using 5G system setting, it is shown that the optimized mechanism can provide significant gains in terms of cell-edge user throughput and resultant spectral requirements for broadcast. The performance gains are obtained due to the ability of the system to optimize the operating point, instead of targeting the worst user which has been the traditional approach for broadcast. The proposed mechanism could be an enabler for mitigating the key challenges currently foreseen for the broadcast of such immersive content.",,978-1-5386-4982-4,10.1109/5GWF.2018.8516962,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8516962,,Device-to-device communication;5G mobile communication;Interference;Signal to noise ratio;Unicast;Reliability;Base stations,5G mobile communication;augmented reality;broadcast communication;cellular radio;feedback;optimisation,mass delivery;D2D augmented 5G;cell-edge user throughput;performance gains;over-the-air virtual reality broadcast transmissions;challenging use cases;high data rates;radio resource efficient mechanism;performance evaluations,,3.0,,18.0,IEEE,1 Nov 2018,,,IEEE,IEEE Conferences,29,"{'virtual', 'reality'}",2
143,Touching The Droid: Understanding and Improving Touch Precision With Mobile Devices in Virtual Reality,F. Zhu; Z. Lyu; M. Sousa; T. Grossman,"Department of Computer Science, University of Toronto; Department of Computer Science, University of Toronto; Department of Computer Science, University of Toronto; Department of Computer Science, University of Toronto",2022 IEEE International Symposium on Mixed and Augmented Reality (ISMAR),27 Dec 2022,2022,,,807,816,"Touch interaction with physical smartphones and tablets in Virtual Reality offers interesting opportunities for cross-device input. Unfortunately, any imprecision in the alignment of the visual representation of either the hand or device can impact the precision of touch and the realism of the experience. We first study a user’s ability to rely solely on preoperative feedback to perform touch interaction in VR, where no rendering of the hand is provided. Results indicate that touch in VR is possible without a visual representation of the hand, but accuracy is influenced by how the device is held and the distance traveled to the target. We then introduce a dynamic calibration algorithm to minimize the offset between the physical hand and its virtual representation. In a second study, we show that this algorithm can increase touch accuracy by 43%, and minimize depth-based “screen penetration” or “floating touch” errors.",1554-7868,978-1-6654-5325-7,10.1109/ISMAR55827.2022.00099,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9995325,Human-Centered Computing;Human computer interaction (HCI);Interaction Paradigms;Virtual Reality,Performance evaluation;Visualization;Heuristic algorithms;User interfaces;Rendering (computer graphics);Calibration;Reliability,calibration;haptic interfaces;human computer interaction;mobile computing;smart phones;touch sensitive screens;virtual reality,cross-device input;floating touch errors;interesting opportunities;mobile devices;physical hand;physical smartphones;tablets;touch accuracy;touch interaction;touch precision;virtual reality;virtual representation;visual representation;VR,,,,52.0,IEEE,27 Dec 2022,,,IEEE,IEEE Conferences,29,"{'virtual', 'reality'}",2
142,Virtual reality in control,O. Kodym; V. Kebo; P. Staša; F. Beneš; J. Švub,"Faculty of Mining and Geology, VÅ B – Technical University of Ostrava, Ostrava, Czech Republic; Faculty of Mining and Geology, VÅ B – Technical University of Ostrava, Ostrava, Czech Republic; Faculty of Mining and Geology, VÅ B – Technical University of Ostrava, Ostrava, Czech Republic; Faculty of Mining and Geology, VÅ B – Technical University of Ostrava, Ostrava, Czech Republic; Faculty of Mining and Geology, VÅ B – Technical University of Ostrava, Ostrava, Czech Republic",Proceedings of the 2015 16th International Carpathian Control Conference (ICCC),2 Jul 2015,2015,,,208,213,"The Web works as a network infrastructure connecting information sources and places for presenting this information. Internet of Things is next step of evolution of interconnection of intelligent information nodes/objects. Extrapolation of these techniques to the field of process control brings Internet of Processes to live. In this case artificial intelligence and SW agents in holonic systems are integrated as well. All stored and processed information can be presented as virtual (or augmented) reality world to the user. Virtual reality uses purpose-built artificial world, holonic systems can use different kind of virtual worlds - Holonic Manufacturing/Logistic System (HMS/HLS). Virtual world acts here as a model or matrix the holons use for control of their activities.",,978-1-4799-7370-5,10.1109/CarpathianCC.2015.7145075,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7145075,Information System;Internet of Things;Virtual Reality;Holonic System;Control;Technological Process,Robot sensing systems;Manufacturing;Reliability;Lead;Robot kinematics,control engineering computing;Internet of Things;logistics;manufacturing systems;process control;production engineering computing;virtual reality,virtual reality;network infrastructure;information sources;Internet of things;intelligent information objects;process control;Internet of processes;artificial intelligence;SW agents;holonic systems;purpose-built artificial world;virtual worlds;holonic manufacturing system;HMS;holonic logistic system;HLS;intelligent information nodes,,1.0,,23.0,IEEE,2 Jul 2015,,,IEEE,IEEE Conferences,29,"{'virtual', 'reality'}",2
141,Building Trust in Autonomous Vehicles: Role of Virtual Reality Driving Simulators in HMI Design,L. Morra; F. Lamberti; F. G. Pratticó; S. L. Rosa; P. Montuschi,"Dipartimento di Automatica e Informatica, Politecnico di Torino, Turin, Italy; Dipartimento di Automatica e Informatica, Politecnico di Torino, Turin, Italy; Dipartimento di Automatica e Informatica, Politecnico di Torino, Turin, Italy; Dipartimento di Automatica e Informatica, Politecnico di Torino, Turin, Italy; Dipartimento di Automatica e Informatica, Politecnico di Torino, Turin, Italy",IEEE Transactions on Vehicular Technology,21 Oct 2019,2019,68.0,10.0,9438,9450,"The investigation of factors contributing at making humans trust Autonomous Vehicles (AVs) will play a fundamental role in the adoption of such technology. The user's ability to form a mental model of the AV, which is crucial to establish trust, depends on effective user-vehicle communication; thus, the importance of Human-Machine Interaction (HMI) is poised to increase. In this work, we propose a methodology to validate the user experience in AVs based on continuous, objective information gathered from physiological signals, while the user is immersed in a Virtual Reality-based driving simulation. We applied this methodology to the design of a head-up display interface delivering visual cues about the vehicle's sensory and planning systems. Through this approach, we obtained qualitative and quantitative evidence that a complete picture of the vehicle's surrounding, despite the higher cognitive load, is conducive to a less stressful experience. Moreover, after having been exposed to a more informative interface, users involved in the study were also more willing to test a real AV. The proposed methodology could be extended by adjusting the simulation environment, the HMI and/or the vehicle's Artificial Intelligence modules to dig into other aspects of the user experience.",1939-9359,,10.1109/TVT.2019.2933601,VR@POLITO; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8789466,Autonomous vehicles;human-machine interaction;driving simulator;user experience;virtual reality,Automobiles;Navigation;Autonomous vehicles;User experience;Visualization;Reliability,artificial intelligence;cognition;human computer interaction;traffic engineering computing;virtual reality,AV;simulation environment;user experience;building trust;autonomous vehicles;HMI design;humans trust;mental model;human-machine interaction;continuous information;physiological signals;head-up display interface;informative interface;virtual reality driving simulators;user-vehicle communication;artificial intelligence modules,,53.0,,55.0,IEEE,6 Aug 2019,,,IEEE,IEEE Journals,29,"{'virtual', 'reality'}",2
140,Monitoring virtual metrology reliability in a sampling decision system,D. Kurz; C. De Luca; J. Pilz,"Alpen-Adria University (AAU) of Klagenfurt Infineon Technologies, Austria; Alpen-Adria University (AAU) of Klagenfurt Infineon Technologies, Austria; Alpen-Adria University (AAU) of Klagenfurt Infineon Technologies, Austria",2013 IEEE International Conference on Automation Science and Engineering (CASE),7 Nov 2013,2013,,,20,25,"In semiconductor manufacturing, metrology operations are expensive and time-consuming, for this reason only a certain sample of wafers is measured. With the need of highly reliable processes, the semiconductor industry is interested in developing methodologies covering the gap of missing metrology information. Virtual Metrology (VM) turns out to be a promising method; it aims to predict wafer and/or site fine metrology results in real time and free of costs. Using virtual measurements as the input of a sampling decision system (SDS), an optimal strategy for measuring productive wafers can be suggested. Since sampling decisions strongly depend on the accuracy of the VM system, it is a key requirement to monitor the reliability of the obtained predictions. In this paper, we present approaches for dynamically assessing VM reliability using real metrology data. A Bayesian dynamical linear model (BDLM) handles increasing VM model uncertainty over time. Model parameters are updated whenever new real measurements become available. VM prediction quality is monitored applying a probability integral transform (PIT) and scoring rules for predictive probability distributions. Inferring equipment health factors (EHF), unreliable predictions can be detected before being delivered to the SDS. Based on the likelihood of the predicted measurements, VM trust factors are introduced. A Bayesian model for the prediction precision matrix allows updating the virtual measurements' uncertainty whenever real measurements are available. Taking account of the proposed methods, one is led to an improved accuracy of the SDS.",2161-8089,978-1-4799-1515-6,10.1109/CoASE.2013.6653949,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6653949,,Semiconductor device measurement;Predictive models;Metrology;Computational modeling;Covariance matrices;Integrated circuits;Reliability,Bayes methods;measurement;production engineering computing;reliability;sampling methods;semiconductor device manufacture;statistical distributions;transforms;virtual reality,virtual metrology reliability monitoring;sampling decision system;VM reliability assessment;Bayesian dynamical linear model;BDLM;VM model uncertainty;VM prediction quality;probability integral transform;PIT;predictive probability distributions;equipment health factors;EHF;SDS;VM trust factors;prediction precision matrix;virtual measurements uncertainty;semiconductor manufacturing,,8.0,1.0,6.0,IEEE,7 Nov 2013,,,IEEE,IEEE Conferences,29,"{'reliability', 'virtual'}",2
138,Feasibility Evaluation: Virtual Laboratory Application Based on Virtual Reality for Lathe Engine Training Simulation,D. Nurkertamanda; S. Saptadi; Y. Widharto; A. N. Maliansari,"Department of Industrial Engineering, Diponegoro University, Semarang, Indonesia; Department of Industrial Engineering, Diponegoro University, Semarang, Indonesia; Department of Industrial Engineering, Diponegoro University, Semarang, Indonesia; Department of Industrial Engineering, Diponegoro University, Semarang, Indonesia",2019 6th International Conference on Frontiers of Industrial Engineering (ICFIE),21 Nov 2019,2019,,,6,10,"Work accident data at the Production System Laboratory (PSL) in Industrial Engineering Department, Diponegoro University shows that human error in the manufacturing process practicum most occurs when operating a lathe, where there are 11 types of errors with a total number of 42 times. Even though the machining training had been done before, but many obstacles faced by students resulted in the training that was considered to be less effective and efficient, causing students to be unprepared when carrying out the manufacturing process practicum. To facilitate learning that students must master before entering the manufacturing process practicum, namely lathe work and bench work, a virtual laboratory application was developed which was then integrated with the Oculus Go device to run applications in virtual reality. The design of this application is carried out using the user centered design (UCD) method in accordance with the measurement aspects of assessment based on their needs, namely visualization and information aspects, animation aspects, reliable aspects, and usability aspects. The results of the assessment are based on the testing of the virtual laboratory application by expert respondents and media user respondents indicating that the application designed has fulfilled the functional and non-functional needs of the user, so there is no application revision.",,978-1-7281-4559-4,10.1109/ICFIE.2019.8907772,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8907772,bench work;lathe work;user centered design;virtual laboratory;virtual reality,Training;Animation;Engines;Testing;Manufacturing processes;Reliability;Usability,,,,3.0,,17.0,IEEE,21 Nov 2019,,,IEEE,IEEE Conferences,29,"{'virtual', 'reality'}",2
